"","PK_RANDOM_SAMPLE_LOCATION","FK_EPA_RANDOM_ID","NEST1_WT","EPA_OVERSAMPLE","EPA_DIVISION","STRATUM","MULTIDENSITY_CATEGORY","WELL_DENSITY","WELL_WEIGHT","AQUIFER_WEIGHT","RESOURCE_TYPE","REPORTING_UNIT","RANDOM_LATITUDE","RANDOM_LONGITUDE","HYDROLOGIC_UNIT_CODE","HYDROLOGIC_UNIT_NAME","CAN_BE_SAMPLED","EXCLUSION_CATEGORY","EXCLUSION_CRITERIA","SAMPLED_DATE","HECTARES","ANALYSIS_SUITE","LOCATIONAL_DATUM","FK_PROJECT","FK_STATION","SAMPLE_LATITUDE","SAMPLE_LONGITUDE","FK_WELL_LISTFRAME_ID","NUTRIENT_WATERSHED_REGION","SCI_DO_BIOREGION_2012","REPORTING_CYCLE","TN_NNC","TP_NNC","DO_Conc"
"11","Z1-SS-14011","FLSS20001-011",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",302149.2601,854005.30827,3140101,"ST. ANDREW-ST. JOSEPH BAYS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"12","Z1-SS-14012","FLSS20001-012",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",304557.01407,845918.79887,3130004,"LOWER CHATTAHOOCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"13","Z1-SS-14013","FLSS20001-013",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",305024.89361,871416.40404,3140305,"ESCAMBIA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"14","Z1-SS-14014","FLSS20001-014",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",304137.07999,854645.29547,3140203,"LOWER CHOCTAWHATCHEE","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","WETLANDS",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"15","Z1-SS-14015","FLSS20001-015",822.84268399,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303926.36753,842752.5618,3120003,"LOWER OCHLOCKONEE","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE EAST","PANHANDLE",14,1.03,0.18,67
"16","Z1-SS-14016","FLSS20001-016",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",300901.16256,844050.34271,3120003,"LOWER OCHLOCKONEE","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE EAST","PANHANDLE",14,1.03,0.18,67
"17","Z1-SS-14017","FLSS20001-017",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303414.56659,861737.50643,3140102,"CHOCTAWHATCHEE BAY","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"18","Z1-SS-14018","FLSS20001-018",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303518.54965,865440.27734,3140103,"YELLOW","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"19","Z1-SS-14019","FLSS20001-019",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303540.7181,860811.40482,3140102,"CHOCTAWHATCHEE BAY","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","GIS COVERAGE INCORRECT, WATERBODY NOT PRESENT AT RANDOM LOCATION",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"20","Z1-SS-14020","FLSS20001-020",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303321.8909,850315.44397,3130011,"APALACHICOLA","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"21","Z1-SS-14021","FLSS20001-021",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",304130.6288,861405.69281,3140102,"CHOCTAWHATCHEE BAY","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"22","Z1-SS-14022","FLSS20001-022",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",305813.04604,873530.10026,3140106,"PERDIDO","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"23","Z1-SS-14023","FLSS20001-023",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",304312.5321,852611.24698,3130012,"CHIPOLA","Y",NA,NA,2020-07-29,NA,"O","HPGN","Z1SS2007",58029,304312.72,852612.311,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"24","Z1-SS-14024","FLSS20001-024",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303516.89441,842945.20336,3120003,"LOWER OCHLOCKONEE","Y",NA,NA,2020-07-27,NA,"O","HPGN","Z1SS2007",58030,303517.337,842944.029,NA,"PANHANDLE EAST","PANHANDLE",14,1.03,0.18,67
"25","Z1-SS-14025","FLSS20001-025",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",305634.0272,863826.3223,3140104,"BLACKWATER","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","GIS COVERAGE INCORRECT, WATERBODY NOT PRESENT AT RANDOM LOCATION",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"26","Z1-SS-14026","FLSS20001-026",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",304547.71536,860108.04998,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"27","Z1-SS-14027","FLSS20001-027",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",302308.97085,851346.20818,3130012,"CHIPOLA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"28","Z1-SS-14028","FLSS20001-028",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",295242.89305,845214.44274,3130013,"NEW","N","OTHERWISE UNSAMPLEABLE","FLOOD CONDITIONS (FLOW OUT OF BANKS) AT STREAM/RIVER/CANAL RANDOM LOCATION",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"29","Z1-SS-14029","FLSS20001-029",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303950.29174,864919.38846,3140103,"YELLOW","Y",NA,NA,2020-08-26,NA,"O","HPGN","Z1SS2007",58031,303950.283,864919.101,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"30","Z1-SS-14030","FLSS20001-030",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",302115.53721,855735.39349,3140101,"ST. ANDREW-ST. JOSEPH BAYS","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"31","Z1-SS-14031","FLSS20001-031",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303800.26714,845108.67754,3130011,"APALACHICOLA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"32","Z1-SS-14032","FLSS20001-032",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",300206.75881,843141.8392,3120003,"LOWER OCHLOCKONEE","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE EAST","PANHANDLE",14,1.03,0.18,67
"33","Z1-SS-14033","FLSS20001-033",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",303455.1707,862123.63798,3140102,"CHOCTAWHATCHEE BAY","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"34","Z1-SS-14034","FLSS20001-034",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",304513.34812,872611.05751,3140106,"PERDIDO","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"35","Z1-SS-14035","FLSS20001-035",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",304020.6517,852712.54784,3130012,"CHIPOLA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"36","Z1-SS-14036","FLSS20001-036",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",302429.85025,844107.16541,3120003,"LOWER OCHLOCKONEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE EAST","PANHANDLE",14,1.03,0.18,67
"37","Z1-SS-14037","FLSS20001-037",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",304116.87012,862436.09015,3140103,"YELLOW","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"38","Z1-SS-14038","FLSS20001-038",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",305047.2252,861249.61895,3140103,"YELLOW","Y",NA,NA,2020-08-26,NA,"O","HPGN","Z1SS2007",58032,305047.084,861249.679,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"39","Z1-SS-14039","FLSS20001-039",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",302615.16648,851429.39433,3130012,"CHIPOLA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"40","Z1-SS-14040","FLSS20001-040",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",302743.27367,843843.9226,3120003,"LOWER OCHLOCKONEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE EAST","PANHANDLE",14,1.03,0.18,67
"41","Z1-SS-14041","FLSS20001-041",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",305223.12837,863008.50605,3140103,"YELLOW","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"42","Z1-SS-14042","FLSS20001-042",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",305522.91322,854810.68092,3140203,"LOWER CHOCTAWHATCHEE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"43","Z1-SS-14043","FLSS20001-043",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",302434.2601,853151.98801,3140101,"ST. ANDREW-ST. JOSEPH BAYS","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"44","Z1-SS-14044","FLSS20001-044",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",295113.73241,845840.22446,3130011,"APALACHICOLA","Y",NA,NA,2020-08-27,NA,"O","HPGN","Z1SS2007",58033,295113.701,845840.165,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"45","Z1-SS-14045","FLSS20001-045",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",304633.66285,864742.44146,3140104,"BLACKWATER","N","UNABLE TO ACCESS","UNABLE TO REACH RANDOM LOCATION WITHIN THREE HOURS FROM ACCESS POINT",NA,NA,NA,"HPGN","Z1SS2007",NA,NA,NA,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"46","Z1-SS-14046","FLSS20001-046",822.84268399,1,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 1",302442.67227,855655.94591,3140203,"LOWER CHOCTAWHATCHEE","Y",NA,NA,2020-08-27,NA,"O","HPGN","Z1SS2007",58034,302442.919,855655.85,NA,"PANHANDLE WEST","PANHANDLE",14,0.67,0.06,67
"47","Z2-SS-14001","FLSS20001-151",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",302251.51027,824209.37894,3110201,"UPPER SUWANNEE","N","DRY","DRY DURING INDEX PERIOD, INCLUDES SMALL LAKE WATER < 4 HECTARES LARGE LAKE WATER < 10 HECTARES",NA,NA,NA,"HPGN","Z2SS2007",NA,NA,NA,NA,"NORTH CENTRAL","BIG BEND",14,1.87,0.3,34
"48","Z2-SS-14002","FLSS20001-152",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",301721.13766,835416.77314,3110103,"AUCILLA","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z2SS2007",NA,NA,NA,NA,"PANHANDLE EAST","BIG BEND",14,1.03,0.18,34
"49","Z2-SS-14003","FLSS20001-153",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",295248.56263,822511.45977,3110206,"SANTA FE","Y",NA,NA,2020-08-19,NA,"O","HPGN","Z2SS2007",57999,295248.977,822510.691,NA,"NORTH CENTRAL","BIG BEND",14,1.87,0.3,34
"50","Z2-SS-14004","FLSS20001-154",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",295222.83376,821702.58967,3110206,"SANTA FE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z2SS2007",NA,NA,NA,NA,"NORTH CENTRAL","BIG BEND",14,1.87,0.3,34
"51","Z2-SS-14005","FLSS20001-155",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",295512.17759,831643.00363,3110102,"ECONFINA-STEINHATCHEE","Y",NA,NA,2020-08-18,NA,"O","HPGN","Z2SS2007",58000,295512.147,831642.885,NA,"PANHANDLE EAST","BIG BEND",14,1.03,0.18,34
"52","Z2-SS-14006","FLSS20001-156",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",295934.01362,833023.82057,3110102,"ECONFINA-STEINHATCHEE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z2SS2007",NA,NA,NA,NA,"PANHANDLE EAST","BIG BEND",14,1.03,0.18,34
"53","Z2-SS-14007","FLSS20001-157",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",300451.45882,823920.09597,3110206,"SANTA FE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z2SS2007",NA,NA,NA,NA,"NORTH CENTRAL","BIG BEND",14,1.87,0.3,34
"54","Z2-SS-14008","FLSS20001-158",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",303207.65021,830056.92934,3110202,"ALAPAHA","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z2SS2007",NA,NA,NA,NA,"NORTH CENTRAL","BIG BEND",14,1.87,0.3,34
"55","Z2-SS-14009","FLSS20001-159",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",294903.75236,831910.57899,3110102,"ECONFINA-STEINHATCHEE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z2SS2007",NA,NA,NA,NA,"PANHANDLE EAST","BIG BEND",14,1.03,0.18,34
"56","Z2-SS-14010","FLSS20001-160",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",295858.99013,820625.36665,3110206,"SANTA FE","Y",NA,NA,2020-08-19,NA,"O","HPGN","Z2SS2007",58001,295859.361,820624.905,NA,"NORTH CENTRAL","BIG BEND",14,1.87,0.3,34
"57","Z2-SS-14011","FLSS20001-161",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",301621.54738,824056.17834,3110201,"UPPER SUWANNEE","N","NO PERMISSION FROM OWNER","ACCESS DENIED BY PROPERTY OWNER",NA,NA,NA,"HPGN","Z2SS2007",NA,NA,NA,NA,"NORTH CENTRAL","BIG BEND",14,1.87,0.3,34
"58","Z2-SS-14012","FLSS20001-162",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",291350.17078,824454.03393,3110101,"WACCASASSA","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z2SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"59","Z2-SS-14013","FLSS20001-163",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",293540.29545,832256.20192,3110102,"ECONFINA-STEINHATCHEE","Y",NA,NA,2020-08-25,NA,"O","HPGN","Z2SS2007",58002,293540.401,832255.935,NA,"PANHANDLE EAST","BIG BEND",14,1.03,0.18,34
"60","Z2-SS-14014","FLSS20001-164",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",295956.90503,822332.1817,3110206,"SANTA FE","N","NO PERMISSION FROM OWNER","UNABLE TO OBTAIN PERMISSION FROM OWNER",NA,NA,NA,"HPGN","Z2SS2007",NA,NA,NA,NA,"NORTH CENTRAL","BIG BEND",14,1.87,0.3,34
"61","Z2-SS-14015","FLSS20001-165",147.475809304,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 2",295745.94728,823622.70587,3110206,"SANTA FE","Y",NA,NA,2020-08-26,NA,"O","HPGN","Z2SS2007",58003,295746.068,823622.445,NA,"NORTH CENTRAL","BIG BEND",14,1.87,0.3,34
"62","Z3-SS-14001","FLSS20001-301",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",301346.0719,813633.89931,3080103,"LOWER ST. JOHNS","N","WRONG RESOURCE/NOT PART OF TARGET POPULATION","STREAM/RIVER ARTIFICIALLY ALTERED WITH LOSS OF SINUOSITY AND BOX CUT BANKS (NOT A PRIMARY CANAL).",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"63","Z3-SS-14002","FLSS20001-302",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",293701.96361,815116.60521,3080102,"OKLAWAHA","Y",NA,NA,2020-07-30,NA,"O","HPGN","Z3SS2007",57864,293701.829,815116.848,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
"64","Z3-SS-14003","FLSS20001-303",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",295634.73126,815602.67536,3080103,"LOWER ST. JOHNS","N","UNABLE TO ACCESS","UNABLE TO GET EQUIPMENT TO RANDOM LOCATION",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","NORTHEAST",14,1.54,0.12,34
"65","Z3-SS-14004","FLSS20001-304",294.983790558,0,NA,NA,NA,NA,NA,NA,"SMALL STREAM","ZONE 3",291046.21465,813306.24752,3080101,"UPPER ST. JOHNS","N","OTHERWISE UNSAMPLEABLE","FLOOD CONDITIONS (FLOW OUT OF BANKS) AT STREAM/RIVER/CANAL RANDOM LOCATION",NA,NA,NA,"HPGN","Z3SS2007",NA,NA,NA,NA,"PENINSULAR","PENINSULA",14,1.54,0.12,38
